year,dateTime,bias,crime_Category,offense1,description,borough,precinct,month_bin,index_
2022,2022-06-02,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Manhattan,7,42,1
2022,2022-09-24,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Manhattan,9,45,1
2022,2022-05-19,Jewish,Misdemeanor,Criminal Mischief,"Mischief, Criminal 4, By Fire",Manhattan,13,41,1
2022,2022-06-19,Jewish,Felony,Criminal Mischief,Criminal Mis 2 & 3,Manhattan,13,42,1
2022,2022-02-17,Jewish,Misdemeanor,Criminal Mischief,"Mischief, Criminal 4, Of Motor",Manhattan,19,38,1
2022,2022-02-17,Jewish,Felony,Criminal Mischief,Criminal Mis 2 & 3,Manhattan,19,38,1
2022,2022-02-17,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Manhattan,19,38,1
2022,2022-08-01,Jewish,Felony,Criminal Mischief,Criminal Mis 2 & 3,Manhattan,19,44,1
2022,2022-02-17,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Manhattan,20,38,1
2022,2022-03-04,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Manhattan,24,39,1
2022,2022-02-28,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Manhattan,34,38,1
2022,2022-02-24,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Bronx,50,38,1
2022,2022-06-09,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Bronx,50,42,1
2022,2022-12-28,Jewish,Felony,Criminal Mischief,"Mischief,Criminal,    Uncl 2Nd",Brooklyn,60,48,1
2022,2022-07-26,Jewish,Felony,Criminal Mischief,"Mischief,Criminal,    Uncl 2Nd",Brooklyn,66,43,1
2022,2022-10-12,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Brooklyn,66,46,1
2022,2022-03-22,Jewish,Felony,Criminal Mischief,"Mischief, Criminal 3 & 2, Of M",Brooklyn,67,39,1
2022,2022-04-26,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Brooklyn,71,40,1
2022,2022-06-01,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Brooklyn,84,42,1
2022,2022-02-12,Jewish,Felony,Criminal Mischief,Criminal Mis 2 & 3,Queens,112,38,1
2022,2022-02-12,Jewish,Misdemeanor,Criminal Mischief,"Mischief, Criminal 4, Of Motor",Queens,112,38,1
2022,2022-02-12,Jewish,Misdemeanor,Criminal Mischief,"Mischief, Criminal 4, Of Motor",Queens,112,38,1
2022,2022-02-12,Jewish,Misdemeanor,Criminal Mischief,"Mischief, Criminal 4, Of Motor",Queens,112,38,1
2022,2022-02-13,Jewish,Misdemeanor,Criminal Mischief,"Mischief, Criminal 4, Of Motor",Queens,112,38,1
2022,2022-02-14,Jewish,Felony,Criminal Mischief,"Mischief, Criminal 3 & 2, Of M",Queens,112,38,1
2022,2022-09-22,Jewish,Felony,Criminal Mischief,Criminal Mis 2 & 3,Staten,120,45,1
2022,2022-09-20,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Staten,121,45,1
